index,country,Date,population_growth_annual_percent.,population_total.,population_density_per_square_km.,total_gdp_us_inflation_adjusted.,gdppercapita_us_inflation_adjusted.,children_and_elderly_per_100_adults.,life_expectancy_years.,child_mortality_0_5_year_olds_dying_per_1000_born.,gdp_total_yearly_growth.
2806,St. Lucia,1996,-0.35633422234668366,-0.6328271318668746,0.721508639094409,-0.37829128347759455,-0.19813512603501665,0.06889141903016609,0.6912585170678218,-0.7454353741448622,0.889897757724206
2807,St. Lucia,1997,-0.29373024375167023,-0.6327710121740584,0.7441274273297529,-0.37829128347759455,-0.20749569629718984,-0.010571294024679554,0.7223008959494788,-0.7529124718417903,-0.620247432423447
2808,St. Lucia,1998,-0.3026736692652436,-0.6327148924812422,0.7610915185062608,-0.3781984772686276,-0.18476288280334072,-0.1006290354868381,0.7429958152039171,-0.7588941499993328,0.8032777901863578
2809,St. Lucia,1999,-0.3831644988874038,-0.6326587727884261,0.7780556096827688,-0.3781520741641441,-0.17807676118750274,-0.20128180535630957,0.7636907344583556,-0.7648758281568753,-0.07771066013760873
2810,St. Lucia,2000,-0.5173158815910045,-0.63260265309561,0.7950197008592766,-0.3781520741641441,-0.18342565848017311,-0.30193457522578027,0.7636907344583556,-0.7693620867750323,-0.6857405786106004
2811,St. Lucia,2001,-0.6774031982839678,-0.632574593249202,0.8119837920357846,-0.3781984772686276,-0.20415263548927085,-0.4184798877062207,0.7533432748311356,-0.7738483453931891,-1.7868705074088052
2812,St. Lucia,2002,-0.8070828682307817,-0.6325184735563858,0.8232931861534566,-0.3781984772686276,-0.20615847197402223,-0.5297276859830047,0.7533432748311356,-0.7768391844719604,-0.06292188519212243
2813,St. Lucia,2003,-0.8616377638635793,-0.6324904137099777,0.8346025802711285,-0.3781211387611551,-0.1901117800960111,-0.6462729984634448,0.7429958152039171,-0.7783346040113461,0.21806483877211633
2814,St. Lucia,2004,-0.8294414320147151,-0.6324623538635696,0.8459119743888005,-0.3779973971491991,-0.1593556206631564,-0.7575207967402288,0.7326483555766986,-0.7813254430901173,0.41454427733357646
2815,St. Lucia,2005,-0.7337467790194799,-0.6324062341707536,0.8572213685064725,-0.3779973971491991,-0.16604174227899438,-0.8687685950170128,0.7636907344583556,-0.7843162821688886,0.5159530198169108
2816,St. Lucia,2006,-0.6156935622403115,-0.6323781743243455,0.8741854596829803,-0.37788912323873763,-0.13996586797722627,-0.9376362796645454,0.7947331133400124,-0.7873071212476598,1.3462370988992103
2817,St. Lucia,2007,-0.5262593071045779,-0.6323220546315294,0.8911495508594882,-0.3778736555372431,-0.14063448013881008,-0.9959089359047657,0.8257754922216692,-0.7902979603264312,-0.2044715882417765
2818,St. Lucia,2008,-0.5083724560774311,-0.6322659349387132,0.9081136420359962,-0.3777499139252872,-0.11790166664496095,-1.0488840779413293,0.8671653307305461,-0.794784218944588,0.5391925233026748
2819,St. Lucia,2009,-0.5888632856995913,-0.632209815245897,0.9250777332125041,-0.37773444622379265,-0.11723305448337715,-1.0859666773669243,0.9085551692394215,-0.8007658971021306,-0.4719371465415707
2820,St. Lucia,2010,-0.725697696057264,-0.632153695553081,0.9420418243890121,-0.37776538162678164,-0.1306052977150531,-1.112454248385206,0.898207709612203,-0.8067475752596731,-0.5086978156917793
2821,St. Vincent and the Grenadines,1980,-0.7185429556464052,-0.6341740044944617,0.8006743979181127,-0.3795395269882005,-0.5110456176562339,1.3773774273332913,0.2256228338429643,-0.24147898937190357,-0.22559840959247118
2822,St. Vincent and the Grenadines,1981,-0.7623657406629148,-0.6341740044944617,0.8119837920357846,-0.37952251251655655,-0.5050281082019797,1.2078569728162871,0.2670126723518411,-0.30877286864425707,0.6469393121912176
2823,St. Vincent and the Grenadines,1982,-0.8124489235389256,-0.6341459446480536,0.8232931861534566,-0.3795054980449126,-0.49967921090930933,1.0595265751139087,0.30840251086071646,-0.3715804892984537,0.3680652703620483
2824,St. Vincent and the Grenadines,1983,-0.8571660511067926,-0.6341178848016455,0.8346025802711285,-0.3794962174240159,-0.4970047622629742,0.9164936916151863,0.33944488974237336,-0.4313972708738791,0.2793326206891308
2825,St. Vincent and the Grenadines,1984,-0.8813132999934407,-0.6340898249552375,0.8459119743888005,-0.37946992233147525,-0.4869755798392172,0.773460808116464,0.3497923493695933,-0.4852323742917619,0.5793334838689947
2826,St. Vincent and the Grenadines,1985,-0.9054605488800888,-0.6340898249552375,0.8572213685064725,-0.3794436272389346,-0.47761500957704406,0.6304279246177417,0.3704872686240317,-0.5330857995521021,0.6046856694898283
2827,St. Vincent and the Grenadines,1986,-0.9215587148045209,-0.6340617651088294,0.8685307626241443,-0.3794188789165434,-0.4682544393148709,0.54566769735924,0.38083472825125014,-0.5734621271155143,0.6955310012978152
2828,St. Vincent and the Grenadines,1987,-0.9457059636911689,-0.6340337052624213,0.8798401567418163,-0.37941578537624454,-0.4689230514764547,0.47680001271170724,0.38083472825125014,-0.6078567765213838,0.22862824944746363
2829,St. Vincent and the Grenadines,1988,-0.9975778316698944,-0.6340056454160133,0.8854948538006523,-0.3793477274896687,-0.44217856501310276,0.42382487067514346,0.39118218787846865,-0.6347743282303253,2.3391977023818584
2830,St. Vincent and the Grenadines,1989,-1.078068661292055,-0.6340056454160133,0.8968042479183242,-0.3793399936389215,-0.4401727285283514,0.3973372996568616,0.39118218787846865,-0.6557102017817241,-0.2298237738626101
2831,St. Vincent and the Grenadines,1990,-1.1862841100062926,-0.6339775855696053,0.9024589449771602,-0.37931679208667973,-0.4321493825893458,0.3761472428422358,0.39118218787846865,-0.6736552362543518,0.3004594420398254
2832,St. Vincent and the Grenadines,1991,-1.2801900778988131,-0.6339775855696053,0.9024589449771602,-0.37931060500608194,-0.43014354610459443,0.26489944456545217,0.39118218787846865,-0.6856185925694368,-0.6350362073689334
2833,St. Vincent and the Grenadines,1992,-1.3803564436508347,-0.6339775855696053,0.9081136420359962,-0.37927348252249515,-0.41543407854975084,0.16424667469598073,0.39118218787846865,-0.6945911098057506,0.8117285187266357
2834,St. Vincent and the Grenadines,1993,-1.463172563906524,-0.6339775855696053,0.9081136420359962,-0.37924564065980504,-0.4047362839644101,0.06889141903016609,0.39118218787846865,-0.6990773684239074,-0.7408815823359135
2835,St. Vincent and the Grenadines,1994,-1.506279874881948,-0.6339775855696053,0.9081136420359962,-0.37925492128070176,-0.4080793447723291,-0.026463836635648535,0.38083472825125014,-0.7020682075026787,-1.4087004052313712
2836,St. Vincent and the Grenadines,1995,-1.5426527864456507,-0.6339775855696053,0.9081136420359962,-0.3792038778657699,-0.38802097992481516,-0.11652157809780708,0.3704872686240317,-0.7035636270420644,-0.5699655976087938
2837,St. Vincent and the Grenadines,1996,-1.575770291122413,-0.6339775855696053,0.9081136420359962,-0.37919614401502266,-0.3846779191168962,-0.20128180535630957,0.36013980899681175,-0.7020682075026787,-0.5013034282190363
2838,St. Vincent and the Grenadines,1997,-1.595624695762546,-0.6339775855696053,0.9081136420359962,-0.3791713956926315,-0.37398012453155544,-0.29133954681846735,0.38083472825125014,-0.7020682075026787,2.0011685607707443
